Onset,Offset
2.73,5.455
5.455,8.185
8.185,10.91
10.91,13.64
13.64,13.985
13.985,14.325
14.325,14.665
14.665,15.005
15.005,15.345
15.345,15.685
15.685,16.03
16.03,16.37
16.37,16.71
16.71,17.05
17.05,17.39
17.39,17.73
17.73,18.075
18.075,18.415
18.415,18.755
18.755,19.095
19.095,19.45
19.45,19.78
19.78,20.12
20.12,20.46
20.46,20.805
20.805,21.145
21.145,21.485
21.485,21.825
21.825,22.165
22.165,22.52
22.52,22.85
22.85,23.19
23.19,23.53
23.53,23.87
23.87,24.21
24.21,24.55
24.55,24.895
24.895,25.235
25.235,25.575
25.575,25.92
25.92,26.255
26.255,26.6
26.6,26.94
26.94,27.285
27.285,27.625
27.625,27.96
27.96,28.305
28.305,28.65
28.65,28.985
28.985,29.325
29.325,29.675
29.675,30.01
30.01,30.355
30.355,30.695
30.695,31.03
31.03,31.37
31.37,31.71
31.71,32.05
32.05,32.39
32.39,32.73
32.73,33.075
33.075,33.415
33.415,33.755
33.755,34.095
34.095,34.435
34.435,34.78
34.78,35.12
35.12,35.46
35.46,35.8
35.8,36.14
36.14,36.48
36.48,36.825
36.825,37.165
37.165,37.505
37.505,37.845
37.845,38.185
38.185,38.53
38.53,38.87
38.87,39.21
39.21,39.55
39.55,39.89
39.89,40.23
40.23,40.575
40.575,40.915
40.915,41.27
41.27,41.6
41.6,41.94
41.94,42.28
42.28,42.62
42.62,42.96
42.96,43.305
43.305,43.645
43.645,43.985
43.985,44.325
44.325,44.665
44.665,45.02
45.02,45.35
45.35,45.69
45.69,46.03
46.03,46.37
46.37,46.715
46.715,47.055
47.055,47.395
47.395,47.735
47.735,48.075
48.075,48.42
48.42,48.755
48.755,49.1
49.1,49.44
49.44,49.78
49.78,50.125
50.125,50.46
50.46,50.805
50.805,51.15
51.15,51.485
51.485,51.83
51.83,52.17
52.17,52.505
52.505,52.85
52.85,53.19
53.19,53.53
53.53,53.87
53.87,54.21
54.21,54.55
54.55,54.89
54.89,55.23
55.23,55.575
55.575,55.915
55.915,56.255
56.255,56.595
56.595,56.935
56.935,57.28
57.28,57.635
57.635,57.96
57.96,58.305
58.305,58.645
58.645,58.985
58.985,59.325
59.325,59.665
59.665,60.02
60.02,60.35
60.35,60.69
60.69,61.03
61.03,61.37
61.37,61.71
61.71,62.055
62.055,62.395
62.395,62.735
62.735,63.075
63.075,63.415
63.415,63.76
63.76,64.1
64.1,64.44
64.44,64.78
64.78,65.125
65.125,65.46
65.46,65.805
65.805,66.15
66.15,66.485
66.485,66.825
66.825,67.17
67.17,67.505
67.505,67.85
67.85,68.19
68.19,68.535
68.535,68.87
68.87,69.205
69.205,69.55
69.55,69.89
69.89,70.23
70.23,70.575
70.575,70.915
70.915,71.255
71.255,71.595
71.595,71.935
71.935,72.28
72.28,72.62
72.62,72.96
72.96,73.3
73.3,73.64
73.64,73.995
73.995,74.325
74.325,74.665
74.665,75.02
75.02,75.35
75.35,75.69
75.69,76.03
76.03,76.37
76.37,76.71
76.71,77.055
77.055,77.395
77.395,77.735
77.735,78.075
78.075,78.415
78.415,78.77
78.77,79.095
79.095,79.44
79.44,79.78
79.78,80.12
80.12,80.465
80.465,80.805
80.805,81.15
81.15,81.485
81.485,81.825
81.825,82.17
82.17,82.51
82.51,82.85
82.85,83.19
83.19,83.53
83.53,83.875
83.875,84.21
84.21,84.555
84.555,84.895
84.895,85.23
85.23,85.58
85.58,85.915
85.915,86.255
86.255,86.595
86.595,86.935
86.935,87.28
87.28,87.62
87.62,87.96
87.96,88.3
88.3,88.64
88.64,88.98
88.98,89.325
89.325,89.665
89.665,90.01
90.01,91.025
91.025,91.71
91.71,92.05
92.05,92.725
92.725,93.755
93.755,94.435
94.435,94.775
94.775,95.115
95.115,95.46
95.46,96.48
96.48,97.165
97.165,97.505
97.505,98.18
98.18,99.21
99.21,99.89
99.89,100.23
100.23,100.57
100.57,100.915
100.915,101.935
101.935,102.62
102.62,102.955
102.955,103.635
103.635,104.66
104.66,105.345
105.345,105.685
105.685,106.025
106.025,106.37
106.37,111.82
111.82,112.165
112.165,112.505
112.505,112.845
112.845,113.185
113.185,113.53
113.53,113.87
113.87,114.21
114.21,114.55
114.55,114.89
114.89,115.23
115.23,115.575
115.575,115.915
115.915,116.255
116.255,116.595
116.595,116.935
116.935,117.28
117.28,117.635
117.635,117.96
117.96,118.305
118.305,118.645
118.645,118.985
118.985,119.325
119.325,119.665
119.665,120.02
120.02,120.35
120.35,120.69
120.69,121.03
121.03,121.37
121.37,121.71
121.71,122.055
122.055,122.395
122.395,122.735
122.735,123.075
123.075,123.415
123.415,123.76
123.76,124.1
124.1,124.445
124.445,124.78
124.78,125.125
125.125,125.465
125.465,125.805
125.805,126.15
126.15,126.485
126.485,126.825
126.825,127.175
127.175,127.505
127.505,127.85
127.85,128.2
128.2,128.525
128.525,128.87
128.87,129.21
129.21,129.55
129.55,129.89
129.89,130.23
130.23,130.575
130.575,130.915
130.915,131.255
131.255,131.595
131.595,131.935
131.935,132.28
132.28,132.62
132.62,132.96
132.96,133.3
133.3,133.64
133.64,133.98
133.98,134.325
134.325,134.665
134.665,135.005
135.005,135.345
135.345,135.685
135.685,136.03
136.03,136.37
136.37,136.71
136.71,137.05
137.05,137.39
137.39,137.73
137.73,138.075
138.075,138.415
138.415,138.755
138.755,139.095
139.095,139.44
139.44,139.78
139.78,140.12
140.12,140.46
140.46,140.805
140.805,141.145
141.145,141.485
141.485,141.825
141.825,142.165
142.165,142.52
142.52,142.85
142.85,143.19
143.19,143.53
143.53,143.87
143.87,144.21
144.21,144.55
144.55,144.895
144.895,145.235
145.235,145.575
145.575,145.92
145.92,146.255
146.255,146.6
146.6,146.945
146.945,147.28
147.28,147.625
147.625,147.965
147.965,148.305
148.305,148.65
148.65,148.985
148.985,149.325
149.325,149.675
149.675,150.015
150.015,150.355
150.355,150.69
150.69,151.035
151.035,151.37
151.37,151.71
151.71,152.05
152.05,152.39
152.39,152.73
152.73,153.075
153.075,153.415
153.415,153.755
153.755,154.095
154.095,154.435
154.435,154.78
154.78,155.12
155.12,155.46
155.46,155.815
155.815,156.145
156.145,156.485
156.485,156.825
156.825,157.165
157.165,157.52
157.52,157.85
157.85,158.19
158.19,158.53
158.53,158.87
158.87,159.21
159.21,159.555
159.555,159.895
159.895,160.235
160.235,160.575
160.575,160.915
160.915,161.26
161.26,161.6
161.6,161.94
161.94,162.28
162.28,162.625
162.625,162.965
162.965,163.305
163.305,163.65
163.65,163.985
163.985,164.33
164.33,164.675
164.675,165.005
165.005,165.35
165.35,165.695
165.695,166.03
166.03,166.38
166.38,166.715
166.715,167.055
167.055,167.395
167.395,167.735
167.735,168.075
168.075,168.415
168.415,168.755
168.755,169.095
169.095,169.435
169.435,169.78
169.78,170.12
170.12,170.46
170.46,170.8
170.8,171.14
171.14,171.48
171.48,171.825
171.825,172.845
172.845,173.525
173.525,173.865
173.865,174.545
174.545,175.57
175.57,176.255
176.255,176.595
176.595,176.935
176.935,177.275
177.275,178.3
178.3,178.98
178.98,179.32
179.32,180
180,181.025
181.025,181.71
181.71,182.05
182.05,182.39
182.39,182.73
182.73,183.755
183.755,184.435
184.435,184.775
184.775,185.455
185.455,186.48
186.48,187.165
187.165,187.505
187.505,187.845
187.845,188.185
188.185,193.64
193.64,193.985
193.985,194.325
194.325,194.665
194.665,195.005
195.005,195.345
195.345,195.685
195.685,196.03
196.03,196.37
196.37,196.71
196.71,197.05
197.05,197.39
197.39,197.73
197.73,198.075
198.075,198.415
198.415,198.755
198.755,199.095
199.095,199.44
199.44,199.78
199.78,200.12
200.12,200.46
200.46,200.805
200.805,201.145
201.145,201.485
201.485,201.825
201.825,202.165
202.165,202.52
202.52,202.85
202.85,203.19
203.19,203.53
203.53,203.87
203.87,204.21
204.21,204.55
204.55,204.895
204.895,205.235
205.235,205.575
205.575,205.925
205.925,206.26
206.26,206.6
206.6,206.945
206.945,207.28
207.28,207.625
207.625,207.965
207.965,208.305
208.305,208.645
208.645,208.985
208.985,209.33
209.33,209.67
209.67,210.01
210.01,210.355
210.355,210.69
210.69,211.035
211.035,211.37
211.37,211.71
211.71,212.05
212.05,212.39
212.39,212.73
212.73,213.075
213.075,213.415
213.415,213.755
213.755,214.095
214.095,214.435
214.435,214.78
214.78,215.12
215.12,215.46
215.46,215.8
215.8,216.14
216.14,216.48
216.48,216.825
216.825,217.165
217.165,217.505
217.505,217.845
217.845,218.185
218.185,218.53
218.53,218.87
218.87,219.21
219.21,219.55
219.55,219.89
219.89,220.23
220.23,220.575
220.575,220.915
220.915,221.27
221.27,221.6
221.6,221.94
221.94,222.28
222.28,222.62
222.62,222.96
222.96,223.305
223.305,223.645
223.645,223.985
223.985,224.325
224.325,224.665
224.665,225.02
225.02,225.35
225.35,225.69
225.69,226.03
226.03,226.37
226.37,226.715
226.715,227.055
227.055,227.395
227.395,227.735
227.735,228.08
228.08,228.42
228.42,228.76
228.76,229.1
229.1,229.445
229.445,229.78
229.78,230.125
230.125,230.465
230.465,230.805
230.805,231.15
231.15,231.485
231.485,231.83
231.83,232.17
232.17,232.505
232.505,232.85
232.85,233.19
233.19,233.53
233.53,233.87
233.87,234.21
234.21,234.55
234.55,234.89
234.89,235.23
235.23,235.575
235.575,235.915
235.915,236.255
236.255,236.595
236.595,236.935
236.935,237.28
237.28,237.63
237.63,237.96
237.96,238.305
238.305,238.645
238.645,238.985
238.985,239.325
239.325,239.665
239.665,240.02
240.02,240.35
240.35,240.69
240.69,241.03
241.03,241.37
241.37,241.71
241.71,242.055
242.055,242.395
242.395,242.735
242.735,243.075
243.075,243.415
243.415,243.76
243.76,244.1
244.1,244.445
244.445,244.78
244.78,245.125
245.125,245.46
245.46,245.805
245.805,246.15
246.15,246.485
246.485,246.83
246.83,247.17
247.17,247.505
247.505,247.85
247.85,248.195
248.195,253.635
253.635,259.095
259.095,278.5
278.5,297.5
