onset,muted,offset
4.989387755,Y,5.172244898
5.289795918,Y,5.472653061
5.551020408,Y,5.733877551
5.851428571,Y,6.008163265
6.125714286,Y,6.28244898
6.413061224,Y,6.569795918
6.674285714,Y,6.844081633
6.92244898,Y,7.09877551
7.222857143,Y,7.399183673
7.503673469,Y,7.673469388
7.777959184,Y,7.94122449
8.065306122,Y,8.248163265
8.339591837,Y,8.52244898
8.64,Y,8.796734694
8.90122449,Y,9.07755102
9.168979592,Y,9.306122449
9.436734694,Y,9.619591837
9.724081633,Y,9.906938776
9.998367347,Y,10.18122449
10.28571429,Y,10.46204082
10.57306122,Y,10.72979592
10.86040816,Y,11.01061225
11.12163265,Y,11.29142857
11.38285714,Y,11.52
11.66367347,Y,11.85306122
11.95102041,Y,12.12081633
12.20571429,Y,12.38857143
12.49306122,Y,12.68244898
12.77097506,Y,12.95020408
13.08444444,Y,13.2244898
13.33986395,Y,13.51183674
13.59528345,Y,13.74693878
13.8739229,Y,14.05387755
14.16417234,Y,14.33469388
14.44281179,Y,14.62204082
14.70984127,Y,14.88979592
15.0000907,Y,15.16408163
15.29034014,Y,15.44489796
15.55736962,Y,15.7322449
15.82439909,Y,15.97387755
16.10303855,Y,16.27428571
16.38167801,Y,16.54204082
16.66031746,Y,16.82285714
16.96217687,Y,17.12979592
17.22920635,Y,17.41061225
17.53106576,Y,17.67836735
17.79229025,Y,17.99836735
18.0462585,Y,18.20081633
18.3292517,Y,18.5077551
18.6122449,Y,18.80816327
18.8952381,Y,19.0955102
19.19274376,Y,19.40897959
19.73696145,Y,19.92489796
20.00544218,Y,20.16653061
20.29569161,Y,20.48
20.57142857,Y,20.73469388
20.84716553,Y,21.02204082
21.10839002,Y,21.30285714
21.41315193,Y,21.61632653
21.95736962,Y,22.11918367
22.2185941,Y,22.38040816
22.5015873,Y,22.66122449
22.77732426,Y,22.95510204
23.07482993,Y,23.22285714
23.32879819,Y,23.48408163
23.61179138,Y,23.77142857
23.90204082,Y,24.05877551
24.18503401,Y,24.34612245
24.45351474,Y,24.62693878
24.73650794,Y,24.89469388
24.99773243,Y,25.16897959
25.30249433,Y,25.45632653
25.54920635,Y,25.71102041
25.85396825,Y,26.00489796
26.11519274,Y,26.28571429
26.40979592,Y,26.56362812
26.67102041,Y,26.84081633
26.93659864,Y,27.0955102
27.21959184,Y,27.38938776
27.50693878,Y,27.66367347
27.76380952,Y,27.93795918
28.06857143,Y,28.29061225
28.61714286,Y,28.77387755
28.89578231,Y,29.0677551
29.17006803,Y,29.29632653
29.44435374,Y,29.61632653
29.72734694,Y,29.89714286
29.99727891,Y,30.15836735
30.26285714,Y,30.46530612
