onset,muted,offset
15.29034014,Y,17.2
17.48462585,Y,17.68634921
17.78938776,Y,19.6
19.91836735,Y,20.14476191
20.25795918,Y,22
22.4,Y,22.62204082
22.6829932,Y,24.2
25.1138322,Y,26.9
27.25442177,Y,27.49823129
27.58095238,Y,29.5
29.71428571,Y,29.9537415
30.04807256,Y,31.6
32.17414966,Y,32.40054422
32.47891157,Y,34
34.8952381,Y,37
37.36235828,Y,39.5
39.80770975,Y,44.1
42.27482993,Y,45.48789116
44.71292517,Y,46.45006803
45.60544218,Y,46.78965986
46.56326531,Y,47.08136054
46.86802721,Y,47.38612245
47.16698413,Y,47.68653061
47.4768254,Y,47.99564626
47.76126984,Y,48.29170068
48.1015873,Y,48.60517007
48.37079365,Y,48.90122449
48.70603175,Y,49.2059864
48.99301587,Y,49.50204082
49.31301587,Y,50.25088435
49.6152381,Y,51.26095238
50.5168254,Y,51.68326531
51.44380952,Y,51.98367347
51.75619048,Y,52.29714286
52.0431746,Y,52.56707483
52.38095238,Y,52.8892517
52.65015873,Y,53.19836735
52.98539683,Y,53.52489796
53.28507937,Y,53.82095238
53.6,Y,54.10394558
53.89460318,Y,54.37823129
54.18666667,Y,55.24462585
54.50013605,Y,56.20680272
55.41151927,Y,56.57251701
56.32870748,Y,56.86857143
56.65578231,Y,57.1907483
56.93514739,Y,57.49115646
57.28798186,Y,57.79591837
57.55827664,Y,58.07455782
57.8800907,Y,58.40544218
58.15727891,Y,58.71455782
58.48235828,Y,58.99755102
58.7845805,Y,59.27183674
59.09659864,Y,60.08163265
59.41043084,Y,61.03510204
60.3138322,Y,61.46612245
61.2154195,Y,61.78285714
61.55102041,Y,62.07020408
61.83365079,Y,62.37387755
62.14730159,Y,62.65469388
62.43555556,Y,62.99102041
62.7415873,Y,63.3044898
63.04761905,Y,63.60489796
63.36725624,Y,64.18938776
63.68072562,Y,65.24734694
64.32507937,Y,66.61804989
66.44970522,Y,67.80226757
66.75736962,Y,70.21714286
69.20707483,Y,71.60163265
71.34911565,Y,72.63201814
71.66839002,Y,74.00489796
73.76979592,Y,75.02367347
74.0890703,Y,76.44734694
76.21950113,Y,77.92326531
76.56199547,Y,79.24680272
78.98267574,Y,79.54285714
79.3077551,Y,79.8214966
79.60961451,Y,80.13496599
79.90566893,Y,80.43972789
80.22494331,Y,80.73578231
80.51519274,Y,81.04054422
80.82866213,Y,81.31918367
81.13052154,Y,81.65006803
81.43818594,Y,81.94612245
81.72843537,Y,82.25959184
82.0244898,Y,82.57632653
82.35537415,Y,82.85714286
82.64562358,Y,83.16734694
82.94748299,Y,83.50693878
83.26675737,Y,84.53877551
83.89950113,Y,85.57061225
84.7876644,Y,85.9755102
85.72154195,Y,86.26285714
86.0553288,Y,86.56326531
86.33106576,Y,86.87020408
86.65034014,Y,87.18367347
86.93333333,Y,87.45469388
87.25623583,Y,87.77142857
87.54648526,Y,88.09142857
87.86575964,Y,88.40816327
88.15455782,Y,88.70857143
88.48544218,Y,89.58040816
88.81632653,Y,90.5044898
89.70521542,Y,90.88
90.61950113,Y,91.1444898
90.95510204,Y,91.48081633
91.21632653,Y,91.76816327
91.56244898,Y,92.07510204
91.83346939,Y,92.37877551
92.15673469,Y,92.68897959
92.44734694,Y,93.0155102
92.77387755,Y,93.31265306
93.08081633,Y,93.60653061
93.39501134,Y,94.44571429
93.68526077,Y,95.43183674
94.59229025,Y,95.75510204
95.52834467,Y,96.03591837
95.84036281,Y,96.35918367
96.11609977,Y,96.66285714
96.45714286,Y,96.97959184
96.73287982,Y,97.25387755
97.05941043,Y,97.59673469
97.34965986,Y,97.89061225
97.67111111,Y,98.1877551
97.96571429,Y,98.46857143
98.27047619,Y,99.27836735
98.5752381,Y,100.1795918
99.50984127,Y,100.64
100.4038095,Y,100.9338776
100.7288889,Y,101.2342857
101.0184127,Y,101.5608163
101.3384127,Y,101.835102
101.6330159,Y,102.1485714
101.9530159,Y,102.484898
102.2526984,Y,102.7820408
102.5726984,Y,103.284898
102.9130159,Y,104.1697959
103.4971429,Y,105.0742857
104.4114286,Y,109.1102041
108.3885714,Y,111.4122449
109.3180952,Y,112.5006803
113.3104762,Y,113.9635374
114.2146032,Y,117.2985034
118.1714286,Y,118.8136054
119.1212698,Y,120.9904762
