onset,muted,offset,,
3.512018141,Y,4.144761905,,
4.237641723,Y,5.050340136,,
5.159183673,Y,5.311564626,,
5.420408163,Y,5.607619048,,
5.870294785,Y,6.443537415,,
6.566893424,Y,6.710566893,,
6.799092971,Y,6.965986395,,
7.024036281,Y,7.186575964,,
7.285260771,Y,7.444897959,,
7.488435374,Y,7.68,,
7.7569161,Y,7.923809524,,
8.010884354,Y,8.838095238,,
8.925170068,Y,9.13414966,,
9.186394558,Y,9.369251701,,
9.629024943,Y,10.25741497,,
10.33287982,Y,10.46639456,,
10.54331066,Y,10.68408163,,
10.76825397,Y,10.91918367,,
11.01496599,Y,11.6244898,,
11.7260771,Y,12.58231293,,
12.65487528,Y,12.81741497,,
12.92335601,Y,13.1570068,,
13.3659864,Y,13.96680272,,
14.06258503,Y,14.22802721,,
14.28752835,Y,14.46312925,,
14.52698413,Y,14.70693878,,
14.75918367,Y,14.93333333,,
14.99863946,Y,15.16843537,,
15.22358277,Y,15.39482993,,
15.47029479,Y,16.10884354,,
16.1814059,Y,16.57904762,,
16.6675737,Y,16.84027211,,
16.90702948,Y,17.03183674,,
17.13197279,Y,17.28725624,,
17.36417234,Y,17.5600907,,
17.61088435,Y,17.97804989,,
18.0462585,Y,18.2276644,,
18.28571429,Y,18.45405896,,
18.51791383,Y,18.91265306,,
19.00408163,Y,19.17968254,,
19.23628118,Y,19.41188209,,
19.51201814,Y,19.6614966,,
19.72244898,Y,19.86176871,,
19.94739229,Y,20.09687075,,
20.16507937,Y,20.34938776,,
20.41904762,Y,20.57142857,,
20.63673469,Y,20.81959184,,
20.88344671,Y,21.03510204,,
21.10839002,Y,21.26367347,,
21.34784581,Y,21.52489796,,
21.57278912,Y,21.73387755,,
21.8122449,Y,21.94938776,,
22.0154195,Y,22.18920635,,
22.24761905,Y,22.42031746,,
22.48707483,Y,22.67174603,,
22.71201814,Y,22.89777778,,
22.95873016,Y,23.14412698,,
23.21269841,Y,23.3752381,,
23.44489796,Y,23.61142857,,
23.67709751,Y,23.86793651,,
23.89478458,Y,24.08380952,,
24.14875283,Y,24.32761905,,
24.37369615,Y,24.55619048,,
24.61315193,Y,24.77714286,,
24.83809524,Y,24.99047619,,
25.09206349,Y,25.52888889,,
25.57097506,Y,25.73968254,,
25.79591837,Y,25.93269841,,
26.02086168,Y,26.45333333,,
26.53605442,Y,26.67936508,,
26.7537415,Y,26.91301587,,
26.99319728,Y,27.14920635,,
27.20362812,Y,27.3752381,,
27.4430839,Y,27.60380952,,
27.65351474,Y,27.82476191,,
27.90748299,Y,28.0584127,,
28.13968254,Y,28.27936508,,
28.36462585,Y,28.53079365,,
28.58231293,Y,28.75174603,,
28.82902494,Y,28.99047619,,
29.06848073,Y,29.23428571,,
29.29342404,Y,29.47555556,,
29.49659864,Y,29.70412698,,
29.74331066,Y,29.92,,
29.98276644,Y,30.17650794,,
30.22947846,Y,30.4152381,,
30.46893424,Y,30.66412698,,
30.71564626,Y,30.89269841,,
30.94058957,Y,31.11111111,,
31.16553288,Y,31.33714286,,
31.40498866,Y,31.57587302,,
31.64444444,Y,31.82222222,,
31.87664399,Y,32.04571429,,
32.10884354,Y,32.26557823,,
32.34104308,Y,32.50068027,,
32.59501134,Y,32.99809524,,
33.03038549,Y,33.1631746,,
33.29886621,Y,33.49333333,,
33.5600907,Y,33.93269841,,
33.99546485,Y,34.17904762,,
34.22040816,Y,34.43555556,,
34.5324263,Y,34.68190476,,
34.9170068,Y,35.11365079,,
35.16371882,Y,35.35238095,,
35.43945578,Y,35.60380952,,
35.87482993,Y,36.04825397,,
36.11428571,Y,36.29968254,,
36.39002268,Y,36.52063492,,
36.81814059,Y,36.99555556,,
37.05034014,Y,37.23428571,,
37.30430839,Y,37.46793651,,
37.75419501,Y,37.92253968,,
37.97913832,Y,38.14603175,,
38.23310658,Y,38.45587302,,
38.69024943,Y,38.84190476,,
38.90793651,Y,39.08825397,,
39.14013605,Y,39.3015873,,
39.61179138,Y,39.81714286,,
39.85124717,Y,40.02793651,,
40.07619048,Y,40.27936508,,
40.55510204,Y,40.73142857,,
40.78730159,Y,40.96507937,,
41.03401361,Y,41.19111111,,
41.48390023,Y,41.41714286,,
41.74512472,Y,41.68126984,,
41.97732426,Y,41.90984127,,
42.45623583,Y,42.16888889,,
42.68843537,Y,42.62095238,,
42.92789116,Y,42.84444444,,
43.36326531,Y,43.08825397,,
43.59546485,Y,43.55047619,,
43.84943311,Y,43.7968254,,
44.3138322,Y,43.99492064,,
44.53877551,Y,44.47238095,,
44.8,Y,44.72126984,,
45.01768708,Y,44.94984127,,
45.24988662,Y,45.45015873,,
45.49659864,Y,45.68380952,,
45.75056689,Y,45.94539683,,
46.17142857,Y,46.35174603,,
46.43265306,Y,46.60063492,,
46.67936508,Y,46.83428571,,
47.10748299,Y,47.28126984,,
47.34693878,Y,47.52507937,,
47.60090703,Y,47.78412698,,
47.85487528,Y,48.22095238,,
48.07256236,Y,48.48761905,,
48.2829932,Y,48.71111111,,
48.55147392,Y,49.15301587,,
48.99410431,Y,49.40190476,,
49.21904762,Y,49.64825397,,
49.48752835,Y,50.12571429,,
49.96643991,Y,50.36190476,,
50.18412698,Y,50.58539683,,
50.4090703,Y,50.79873016,,
50.64852608,Y,50.96126984,,
51.07664399,Y,51.28126984,,
51.33061225,Y,51.74603175,,
51.80226757,Y,51.97460318,,
52.02721088,Y,52.20571429,,
52.28117914,Y,52.41650794,,
52.48435374,Y,52.66031746,,
52.738322,Y,52.90412698,,
52.97052154,Y,53.15047619,,
53.2462585,Y,53.43492064,,
53.65986395,Y,53.84634921,,
53.9138322,Y,54.0952381,,
54.16054422,Y,54.35174603,,
54.6031746,Y,54.77079365,,
54.82811791,Y,55.04253968,,
55.10385488,Y,55.49460318,,
55.56099773,Y,55.71047619,,
55.77868481,Y,55.96190476,,
56.01088435,Y,56.17269841,,
56.23582766,Y,56.43174603,,
56.49705215,Y,56.66031746,,
56.72199547,Y,56.90920635,,
56.99773243,Y,57.14793651,,
57.43310658,Y,57.62285714,,
57.66530612,Y,57.85142857,,
57.92653061,Y,58.08761905,,
58.33287982,Y,58.48380952,,
58.5723356,Y,58.79365079,,
58.86258503,Y,59.25333333,,
59.31972789,Y,59.46920635,,
59.55192744,Y,59.72825397,,
59.78412698,Y,59.91365079,,
59.99455782,Y,60.18539683,,
60.24126984,Y,60.39873016,,
60.44444444,Y,60.64507937,,
60.71292517,Y,60.87365079,,
61.15555556,Y,61.35111111,,
61.38049887,Y,61.58730159,,
61.64172336,Y,61.83873016,,
62.11337869,Y,62.20698413,,
62.34557823,Y,62.52444444,,
62.57777778,Y,62.9968254,,
63.04217687,Y,63.1415873,,
63.24535147,Y,63.43111111,,
63.49206349,Y,63.89587302,,
63.97823129,Y,64.15238095,,
64.21768708,Y,64.41904762,,
64.4861678,Y,64.67047619,,
64.92154195,Y,65.10476191,,
65.1537415,Y,65.34857143,,
65.43673469,Y,65.57714286,,
65.82857143,Y,66.04952381,,
66.10430839,Y,66.29587302,,
66.36553288,Y,66.49142857,,
66.78639456,Y,66.9968254,,
67.03310658,Y,67.22539683,,
67.28707483,Y,67.43619048,,
67.72244898,Y,67.66222222,,
67.98367347,Y,67.91365079,,
68.21587302,Y,68.16,,
68.68752835,Y,68.39111111,,
68.92698413,Y,68.86349206,,
69.18820862,Y,69.12253968,,
69.61632653,Y,69.35365079,,
69.84852608,Y,69.77777778,,
70.0952381,Y,70.0368254,,
70.55238095,Y,70.27301587,,
70.79183674,Y,70.74285714,,
71.05306122,Y,70.99428571,,
71.4739229,Y,71.19492064,,
71.74965986,Y,71.68253968,,
71.99637188,Y,71.93142857,,
72.43900227,Y,72.17269841,,
72.64943311,Y,72.63238095,,
72.9324263,Y,72.86095238,,
73.38231293,Y,73.09968254,,
73.60725624,Y,73.54920635,,
73.8829932,Y,73.8031746,,
74.31111111,Y,74.01142857,,
74.54331066,Y,74.49142857,,
74.79727891,Y,74.73269841,,
75.24716553,Y,74.96888889,,
75.47936508,Y,75.42349206,,
75.74784581,Y,75.66222222,,
76.17596372,Y,75.88571429,,
76.4154195,Y,76.34031746,,
76.64761905,Y,76.56380952,,
76.9015873,Y,76.82031746,,
