Student,precision,recall,f_measure_value,Onset ABS Mean,Onset Mean,Onset Std,Duration ABS Mean,Duration Mean,Duration Std,onsetMark, DurationMark, TF 1 Mark , TF 2 Mark ,Sound Quality Mark, finalMark
0,1.0,0.997,0.998,0.003,0.001,0.004,0.003,0.001,0.004,100,100,100,100,100,5
1,0.361,0.367,0.364,0.009,0.001,0.011,0.094,-0.051,0.22,79.2,79.2,72.0,79.2,79.2,3.6
2,0.579,0.538,0.558,0.008,0.001,0.01,0.042,0.017,0.07,56.7,72.0,72.0,72.0,72.0,2.7
3,0.253,0.255,0.254,0.01,-0.004,0.012,0.094,-0.068,0.202,72.0,79.2,79.2,90.0,79.2,3.6
4,0.15,0.14,0.145,0.009,0.004,0.011,0.09,0.075,0.267,72.0,79.2,79.2,79.2,79.2,3.6
5,0.261,0.262,0.262,0.011,-0.001,0.012,0.148,-0.126,0.29,79.2,79.2,72.0,79.2,79.2,2.7
6,0.172,0.178,0.175,0.012,0.01,0.013,0.037,0.037,0.038,79.2,90.0,90.0,90.0,79.2,4.05
7,0.054,0.052,0.053,0.015,-0.011,0.016,0.194,-0.169,0.307,79.2,79.2,79.2,72.0,56.7,1.8
8,0.3,0.318,0.309,0.01,-0.003,0.011,0.147,-0.09,0.319,56.7,72.0,79.2,79.2,72.0,2.7
9,0.097,0.101,0.099,0.01,-0.002,0.012,0.14,-0.128,0.28,56.7,33.300000000000004,33.300000000000004,56.7,33.300000000000004,0.9
10,0.215,0.213,0.214,0.011,0.002,0.012,0.074,-0.029,0.139,56.7,33.300000000000004,33.300000000000004,56.7,33.300000000000004,0.0
11,0.679,0.517,0.587,0.009,0.0,0.01,0.139,0.13,0.368,79.2,79.2,90.0,90.0,90.0,3.6
12,0.626,0.514,0.564,0.009,0.0,0.011,0.078,-0.048,0.19,72.0,72.0,72.0,72.0,79.2,2.7
13,0.661,0.517,0.58,0.009,0.001,0.011,0.037,0.003,0.052,79.2,79.2,79.2,72.0,79.2,3.15
14,0.653,0.545,0.594,0.009,-0.001,0.011,0.031,0.018,0.033,90.0,90.0,90.0,90.0,90.0,4.5
15,0.664,0.643,0.654,0.009,-0.003,0.011,0.065,-0.023,0.151,90.0,56.7,72.0,72.0,79.2,1.9800000000000002
