onset,muted,offset,,
3.390113379,Y,3.599092971,,
3.622312925,Y,3.9938322,,
4.075102041,Y,4.551111111,,
5.212879819,Y,5.409002268,,
5.41,Y,5.64244898,,
5.665668934,Y,5.863038549,,
5.886258503,Y,6.280997732,,
6.559637188,Y,6.745011338,,
6.768004535,Y,6.965986395,,
7.00399093,Y,7.186575964,,
7.209795918,Y,7.41877551,,
7.441995465,Y,7.639365079,,
7.662585034,Y,8.150204082,,
8.788752834,Y,8.962902494,,
9.044172336,Y,9.253151927,,
9.276371882,Y,9.450521542,,
9.473741497,Y,9.926530612,,
10.15873016,Y,10.39092971,,
10.61151927,Y,10.89015873,,
11.06430839,Y,11.28099773,,
11.30800454,Y,11.77251701,,
12.43428571,Y,12.62199547,,
12.63,Y,12.86385488,,
12.88707483,Y,13.08444444,,
13.1076644,Y,13.49079365,,
13.78104308,Y,13.97800454,,
14,Y,14.18739229,,
14.22222222,Y,14.4,,
14.44281179,Y,14.64018141,,
14.67501134,Y,14.87238095,,
14.89560091,Y,15.37160998,,
16.01015873,Y,16.19591837,,
16.26557823,Y,16.47455782,,
16.49777778,Y,16.67192744,,
16.70675737,Y,17.14793651,,
17.38013605,Y,17.62394558,,
17.83292517,Y,18.11156463,,
18.27410431,Y,18.49099773,,
18.53,Y,18.9939229,,
19.65569161,Y,19.854,,
19.87,Y,20.08526077,,
20.10848073,Y,20.30585034,,
20.3290703,Y,20.72380952,,
21.00244898,Y,21.20099773,,
21.22,Y,21.40879819,,
21.44362812,Y,21.62938776,,
21.66421769,Y,21.8615873,,
21.88480726,Y,22.08217687,,
22.10539683,Y,22.59301587,,
23.23156463,Y,23.40571429,,
23.49,Y,23.69596372,,
23.71918367,Y,23.89333333,,
23.91655329,Y,24.3693424,,
24.60154195,Y,24.8337415,,
25.05433107,Y,25.33297052,,
25.4955102,Y,25.70800454,,
25.74,Y,26.2153288,,
26.87709751,Y,27.06501134,,
27.09,Y,27.30666667,,
27.32988662,Y,27.52725624,,
27.55047619,Y,27.94521542,,
28.22385488,Y,28.42600907,,
28.4470068,Y,28.63020408,,
28.66503401,Y,28.85079365,,
28.88562358,Y,29.0829932,,
29.10621315,Y,29.30358277,,
29.32680272,Y,29.81442177,,
30.45297052,Y,30.62712018,,
30.70839002,Y,30.91736962,,
30.94058957,Y,31.11473923,,
31.13795918,Y,31.5907483,,
31.82294785,Y,32.05514739,,
32.27573696,Y,32.55437642,,
32.7169161,Y,32.92,,
32.96600907,Y,33.42512472,,
34.0985034,Y,34.28399093,,
34.31600907,Y,34.52807256,,
34.55129252,Y,34.74866213,,
34.77188209,Y,35.16662132,,
35.44526077,Y,35.63900227,,
35.66501134,Y,35.85160998,,
35.88643991,Y,36.07219955,,
36.10702948,Y,36.30439909,,
36.32761905,Y,36.52498866,,
36.54820862,Y,37.03582766,,
37.67437642,Y,37.84852608,,
37.92979592,Y,38.13877551,,
38.16199547,Y,38.33614513,,
38.35936508,Y,38.8121542,,
39.04435374,Y,39.27655329,,
39.49714286,Y,39.77578231,,
39.938322,Y,40.13199547,,
40.1670068,Y,40.64653061,,
41.3199093,Y,41.49600907,,
41.52800454,Y,41.74947846,,
41.77269841,Y,41.97006803,,
41.99328798,Y,42.38802721,,
42.66666667,Y,42.84900227,,
42.88501134,Y,43.07301587,,
43.10784581,Y,43.29360544,,
43.3168254,Y,43.52580499,,
43.54902494,Y,43.74639456,,
43.76961451,Y,44.25723356,,
44.89578231,Y,45.06993197,,
45.15120181,Y,45.36018141,,
45.38340136,Y,45.55755102,,
45.569161,Y,46.01034014,,
46.24253968,Y,46.49795918,,
46.68371882,Y,46.88108844,,
46.92752835,Y,47.12489796,,
47.15972789,Y,47.35709751,,
47.39192744,Y,47.83310658,,
48.05369615,Y,48.44843537,,
48.50648526,Y,48.68063492,,
48.73868481,Y,48.92444444,,
48.95927438,Y,49.16825397,,
49.19147392,Y,49.59782313,,
49.85324263,Y,50.16671202,,
50.30603175,Y,50.55,,
50.56501134,Y,50.93297052,,
50.99102041,Y,51.44380952,,
51.65278912,Y,51.95464853,,
52.10557823,Y,52.40743764,,
52.55836735,Y,52.74412698,,
52.80217687,Y,53.23174603,,
53.4523356,Y,53.71936508,,
53.90512472,Y,54.10249433,,
54.13732426,Y,54.54367347,,
54.5785034,Y,55.03129252,,
55.27510204,Y,55.66984127,,
55.73950113,Y,55.90204082,,
55.9600907,Y,56.13424036,,
56.18068027,Y,56.37804989,,
56.41287982,Y,56.830839,,
57.06303855,Y,57.36489796,,
57.5506576,Y,57.75,,
57.7770068,Y,58.13115646,,
58.20081633,Y,58.65360544,,
58.88580499,Y,59.16444444,,
59.31537415,Y,59.65206349,,
59.75655329,Y,59.9539229,,
60.00036281,Y,60.45315193,,
60.6737415,Y,60.85950113,,
60.929161,Y,61.10331066,,
61.14975057,Y,61.32390023,,
61.37034014,Y,61.78501134,,
61.82600907,Y,62.29913832,,
