 onsets, offsets
0.02,0.135
0.135,15.325
15.325,17.515
17.515,17.85
17.85,19.46
19.46,19.97
19.97,20.295
20.295,22.42
22.42,22.76
22.76,25.195
25.195,27.285
27.285,27.62
27.62,29.82
29.82,30.085
30.085,30.97
30.97,32.175
32.175,32.51
32.51,34.945
34.945,37.355
37.355,39.835
39.835,42.275
42.275,44.7
44.7,45.61
45.61,46.555
46.555,46.855
46.855,47.165
47.165,47.47
47.47,47.805
47.805,48.07
48.07,48.39
48.39,48.67
48.67,48.97
48.97,49.32
49.32,49.635
49.635,50.52
50.52,51.415
51.415,51.745
51.745,52.06
52.06,52.375
52.375,52.66
52.66,52.97
52.97,53.275
53.275,53.575
53.575,53.875
53.875,54.17
54.17,54.495
54.495,55.42
55.42,56.345
56.345,56.665
56.665,56.955
56.955,57.13
57.13,57.255
57.255,57.57
57.57,57.85
57.85,58.17
58.17,58.445
58.445,58.78
58.78,59.095
59.095,59.415
59.415,60.32
60.32,61.3
61.3,61.56
61.56,61.865
61.865,62.13
62.13,62.44
62.44,62.755
62.755,63.085
63.085,63.355
63.355,63.7
63.7,63.975
63.975,64.35
64.35,66.455
66.455,66.8
66.8,69.22
69.22,71.3
71.3,71.665
71.665,73.57
73.57,73.705
73.705,74.075
74.075,76.25
76.25,76.595
76.595,78.995
78.995,79.36
79.36,79.655
79.655,79.94
79.94,80.205
80.205,80.56
80.56,80.865
80.865,81.18
81.18,81.43
81.43,81.795
81.795,82.09
82.09,82.395
82.395,82.66
82.66,82.98
82.98,83.275
83.275,83.51
