onset,muted,offset
15.29501134,N,17.44501134
17.44501134,N,17.75501134
17.75501134,N,19.89501134
19.89501134,N,20.18
20.18,N,22.36498866
22.36498866,N,25.11
25.11,N,27.25
27.25,N,27.56
27.56,N,29.68501134
29.68501134,N,30.02501134
30.02501134,N,32.14501134
32.14501134,N,32.47
32.47,N,34.88501134
34.88501134,N,37.34501134
37.34501134,N,39.79
39.79,N,42.24501134
42.24501134,N,44.7
44.7,N,45.60498866
45.60498866,N,46.55501134
46.55501134,N,46.86
46.86,N,47.16
47.16,N,47.46501134
47.46501134,N,47.75501134
47.75501134,N,48.09
48.09,N,48.37
48.37,N,48.69501134
48.69501134,N,48.98501134
48.98501134,N,49.30501134
49.30501134,N,49.61
49.61,N,50.51501134
50.51501134,N,51.43
51.43,N,51.74
51.74,N,52.04
52.04,N,52.37
52.37,N,52.64501134
52.64501134,N,52.96501134
52.96501134,N,53.27501134
53.27501134,N,53.59
53.59,N,53.89
53.89,N,54.18
54.18,N,54.49501134
54.49501134,N,55.41
55.41,N,56.32501134
56.32501134,N,56.64501134
56.64501134,N,56.93501134
56.93501134,N,57.27
57.27,N,57.55501134
57.55501134,N,57.87501134
57.87501134,N,58.15501134
58.15501134,N,58.47501134
58.47501134,N,58.78501134
58.78501134,N,59.09
59.09,N,59.40501134
59.40501134,N,60.31
60.31,N,61.21501134
61.21501134,N,61.54
61.54,N,61.83
61.83,N,62.14501134
62.14501134,N,62.43
62.43,N,62.73501134
62.73501134,N,63.04501134
63.04501134,N,63.36501134
63.36501134,N,63.68
63.68,N,64.31501134
64.31501134,N,66.43
66.43,N,66.75501134
66.75501134,N,69.19
69.19,N,71.66
71.66,N,74.08498866
74.08498866,N,76.55501134
76.55501134,N,78.97498866
78.97498866,N,79.24501134
79.24501134,N,79.60501134
79.60501134,N,79.9
79.9,N,80.21
80.21,N,80.51501134
80.51501134,N,80.82
80.82,N,81.12501134
81.12501134,N,81.42501134
81.42501134,N,81.73
81.73,N,82.03
82.03,N,82.34
82.34,N,82.64
82.64,N,82.93501134
82.93501134,N,83.26
83.26,N,83.578
