 onsets, offsets
0.01,0.11
0.11,3.7
3.7,4.385
4.385,5.34
5.34,5.585
5.585,6.05
6.05,6.6
6.6,6.82
6.82,7.03
7.03,7.26
7.26,7.41
7.41,7.71
7.71,7.95
7.95,8.2
8.2,9.09
9.09,9.35
9.35,9.775
9.775,10.455
10.455,10.7
10.7,10.965
10.965,11.205
11.205,11.935
11.935,12.105
12.105,12.84
12.84,13.06
13.06,13.515
13.515,14.22
14.22,14.47
14.47,14.715
14.715,14.875
14.875,15.175
15.175,15.41
15.41,15.65
15.65,15.99
15.99,16.55
16.55,16.8
16.8,17.07
17.07,17.305
17.305,17.555
17.555,17.745
17.745,18.22
18.22,18.465
18.465,18.78
18.78,19.13
19.13,19.35
19.35,19.52
19.52,19.62
19.62,19.84
19.84,20.1
20.1,20.28
20.28,20.56
20.56,20.785
20.785,21.025
21.025,21.24
21.24,21.5
21.5,21.71
21.71,21.96
21.96,22.175
22.175,22.37
22.37,22.645
22.645,22.83
22.83,23.105
23.105,23.345
23.345,23.595
23.595,23.815
23.815,24.06
24.06,24.27
24.27,24.57
24.57,24.745
24.745,24.87
24.87,24.985
24.985,25.22
25.22,25.695
25.695,25.96
25.96,26.21
26.21,26.39
26.39,26.875
26.875,27.135
27.135,27.345
27.345,27.575
27.575,27.795
27.795,28.045
28.045,28.265
28.265,28.525
28.525,28.745
28.745,29.0
29.0,29.21
29.21,29.435
29.435,29.645
29.645,29.905
29.905,30.125
30.125,30.335
30.335,30.6
30.6,30.835
30.835,31.095
31.095,31.305
31.305,31.565
31.565,31.795
31.795,32.03
32.03,32.22
32.22,32.475
32.475,32.7
32.7,33.135
33.135,33.41
33.41,33.64
33.64,33.9
33.9,34.13
34.13,34.35
