onset,muted,offset
3.512018141,N,4.144761905
4.237641723,N,5.050340136
5.159183673,Y,5.311564626
5.420408163,N,5.607619048
5.870294785,N,6.443537415
6.566893424,N,6.710566893
6.799092971,N,6.965986395
7.024036281,N,7.186575964
7.285260771,N,7.444897959
7.488435374,N,7.68
7.7569161,N,7.923809524
8.010884354,N,8.838095238
8.925170068,N,9.13414966
9.186394558,Y,9.369251701
9.629024943,N,10.25741497
10.33287982,N,10.46639456
10.54331066,N,10.68408163
10.76825397,N,10.91918367
11.01496599,N,11.6244898
11.7260771,N,12.58231293
12.65487528,N,12.81741497
12.92335601,Y,13.1570068
13.3659864,N,13.96680272
14.06258503,N,14.22802721
14.28752835,N,14.46312925
14.52698413,N,14.70693878
14.75918367,N,14.93333333
14.99863946,N,15.16843537
15.22358277,N,15.39482993
15.47029479,N,16.10884354
16.1814059,N,16.57904762
16.6675737,N,16.84027211
16.90702948,N,17.03183674
17.13197279,N,17.28725624
17.36417234,N,17.5600907
17.61088435,N,17.97804989
18.0462585,N,18.2276644
18.28571429,N,18.45405896
18.51791383,N,18.91265306
19.00408163,N,19.17968254
19.23628118,N,19.41188209
19.51201814,N,19.6614966
19.72244898,N,19.86176871
19.94739229,N,20.09687075
20.16507937,N,20.34938776
20.41904762,N,20.57142857
20.63673469,N,20.81959184
20.88344671,N,21.03510204
21.10839002,N,21.26367347
21.34784581,N,21.52489796
21.57278912,N,21.73387755
21.8122449,N,21.94938776
22.0154195,N,22.18920635
22.24761905,N,22.42031746
22.48707483,N,22.67174603
22.71201814,N,22.89777778
22.95873016,N,23.14412698
23.21269841,N,23.3752381
23.44489796,N,23.61142857
23.67709751,N,23.86793651
23.89478458,N,24.08380952
24.14875283,N,24.32761905
24.37369615,N,24.55619048
24.61315193,N,24.77714286
24.83809524,Y,24.99047619
25.09206349,N,25.52888889
25.57097506,N,25.73968254
25.79591837,N,25.93269841
26.02086168,N,26.45333333
26.53605442,N,26.67936508
26.7537415,N,26.91301587
26.99319728,N,27.14920635
27.20362812,N,27.3752381
27.4430839,N,27.60380952
27.65351474,N,27.82476191
27.90748299,N,28.0584127
28.13968254,N,28.27936508
28.36462585,N,28.53079365
28.58231293,N,28.75174603
28.82902494,N,28.99047619
29.06848073,N,29.23428571
29.29342404,N,29.47555556
29.49659864,N,29.70412698
29.74331066,N,29.92
29.98276644,N,30.17650794
30.22947846,N,30.4152381
30.46893424,N,30.66412698
30.71564626,N,30.89269841
30.94058957,N,31.11111111
31.16553288,N,31.33714286
31.40498866,N,31.57587302
31.64444444,N,31.82222222
31.87664399,N,32.04571429
32.10884354,N,32.26557823
32.34104308,N,32.50068027
32.59501134,N,32.99809524
33.03038549,Y,33.1631746
33.29886621,N,33.49333333
33.5600907,N,33.93269841
33.99546485,N,34.17904762
34.22040816,N,34.43555556
