Student,precision,recall,f_measure_value,Onset ABS Mean,Onset Mean,Onset Std,Duration ABS Mean,Duration Mean,Duration Std,onsetMark, DurationMark, TF 1 Mark ,Sound Quality Mark, finalMark
0,0.992,1.0,0.996,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,5
1,0.306,0.314,0.31,0.01,-0.003,0.012,0.061,-0.047,0.206,79.2,90.0,79.2,72.0,3.6
2,0.277,0.28,0.278,0.011,-0.004,0.013,0.021,-0.01,0.027,56.7,56.7,72.0,72.0,1.8
3,0.144,0.161,0.152,0.014,-0.001,0.015,0.132,0.097,0.382,72.0,79.2,79.2,79.2,2.7
4,0.102,0.11,0.106,0.01,-0.001,0.012,0.215,0.12,0.246,72.0,79.2,79.2,72.0,2.7
5,0.648,0.907,0.756,0.002,0.001,0.004,0.53,-0.527,0.997,79.2,79.2,79.2,79.2,3.6
6,0.342,0.347,0.345,0.01,-0.0,0.011,0.168,-0.138,0.48,72.0,72.0,72.0,79.2,2.7
7,0.069,0.085,0.076,0.011,-0.008,0.013,0.744,-0.687,1.287,56.7,56.7,72.0,79.2,2.7
8,0.037,0.034,0.036,0.011,-0.006,0.013,0.942,-0.942,1.295,72.0,72.0,72.0,79.2,2.7
9,0.035,0.034,0.034,0.016,0.006,0.016,0.16,0.155,0.223,79.2,90.0,90.0,90.0,3.6
10,0.035,0.034,0.034,0.016,0.006,0.016,0.16,0.155,0.223,72.0,72.0,56.7,56.7,1.8
11,0.161,0.153,0.157,0.011,-0.004,0.012,0.037,-0.035,0.045,79.2,79.2,72.0,56.7,2.7
