 onsets, offsets
6.17,6.57
6.57,6.855
6.855,9.44
9.44,9.86
9.86,10.145
10.145,12.745
12.745,13.15
13.15,13.435
13.435,16.03
16.03,16.46
16.46,16.72
16.72,19.33
19.33,19.715
19.715,20.01
20.01,22.61
22.61,23.025
23.025,23.29
23.29,25.9
25.9,26.295
26.295,26.57
26.57,29.185
29.185,29.585
29.585,29.87
29.87,32.345
32.345,32.465
32.465,32.875
32.875,33.17
33.17,35.77
35.77,36.17
36.17,36.45
36.45,39.035
39.035,39.44
39.44,39.73
39.73,42.345
42.345,42.745
42.745,43.025
43.025,45.61
45.61,46.035
46.035,46.325
46.325,48.77
48.77351473922902,48.8431746031746
48.901224489795915,49.13342403628118
49.16825396825397,49.26113378684807
49.30757369614513,49.66748299319728
49.74875283446712,50.12027210884354
50.155102040816324,50.52662131519274
50.5730612244898,50.86331065759637
51.211609977324265,51.316099773242634
51.374149659863946,51.60634920634921
51.65278911564626,51.83854875283447
52.05913832199546,52.15201814058957
52.22167800453515,52.54675736961451
52.87183673469388,52.953106575963716
53.0227664399093,53.37106575963719
53.4291156462585,53.80063492063492
53.83546485260771,54.160544217687075
54.50884353741497,54.60172335600907
54.67138321995465,54.89197278911565
54.9384126984127,55.12417233560091
55.33315192743764,55.39120181405896
55.48408163265306,55.83238095238095
55.878820861678,56.25034013605442
56.32,56.70312925170068
56.73795918367347,57.109478458049885
57.14430839002267,57.43455782312925
57.550657596371884,57.56226757369615
57.79446712018141,57.85251700680272
57.933786848072565,58.16598639455783
58.2356462585034,58.39818594104308
58.63038548752834,58.68843537414966
58.7697052154195,59.05995464852608
59.47791383219955,59.570793650793654
59.582403628117916,59.80299319727891
59.849433106575965,59.94231292517007
60.00036281179138,60.38349206349206
60.41832199546485,60.73179138321996
61.08009070294784,61.18458049886621
61.23102040816327,61.49804988662132
61.52126984126984,61.68380952380952
61.89278911564626,61.962448979591834
62.04371882086168,62.415238095238095
62.47328798185941,62.83319727891156
62.844807256235825,62.85641723356009
62.87963718820862,63.27437641723356
63.30920634920635,63.68072562358277
63.69233560090703,63.994195011337865
64.38893424036281,64.45859410430839
64.52825396825396,64.7720634920635
64.83011337868481,64.98104308390023
65.1784126984127,65.25968253968254
65.34095238095239,65.66603174603175
66.0259410430839,66.10721088435375
66.16526077097505,66.39746031746031
66.44390022675736,66.52517006802721
66.58321995464853,66.95473922902494
66.98956916099773,67.30303854875284
67.67455782312925,67.70938775510204
67.81387755102041,68.05768707482993
68.09251700680272,68.25505668934241
68.4756462585034,68.54530612244898
68.63818594104309,68.98648526077098
69.03292517006803,69.40444444444445
69.46249433106576,69.84562358276644
69.89206349206349,70.24036281179139
70.28680272108843,70.58866213151927
70.93696145124717,71.0530612244898
71.11111111111111,71.3317006802721
71.38975056689343,71.57551020408164
71.78448979591836,71.8657596371882
71.9354195011338,72.22566893424036
72.59718820861679,72.67845804988661
72.7481179138322,72.98031746031747
73.02675736961451,73.10802721088436
73.16607709750566,73.5027664399093
73.53759637188209,73.92072562358277
74.2574149659864,74.38512471655329
74.40834467120182,74.65215419501133
75.22104308390023,75.4184126984127
75.62739229024943,75.88281179138322
