onset,muted,offset
17.25,N,17.53687075
17.59,N,17.85904762
17.925,N,18.21605442
18.275,N,18.52952381
18.615,N,18.90394558
18.97,N,19.22612245
19.305,N,19.59183674
19.645,N,19.93433107
19.99,N,20.2768254
20.34,N,20.60770975
20.68,N,20.95600907
21.025,N,21.31011338
21.375,N,21.64099773
21.715,N,21.98929705
22.06,N,22.33179138
22.405,N,22.66848073
22.745,N,23.02258503
23.1,N,23.39410431
23.465,N,23.71337869
23.79,N,24.06748299
24.135,N,24.40997732
24.475,N,24.75247166
24.83,N,25.10657596
25.175,N,25.4490703
25.525,N,25.8031746
25.88,N,26.13986395
26.225,N,26.48816327
26.57,N,26.82485261
26.9,N,27.17895692
27.25,N,27.51564626
27.595,N,27.87555556
27.95,N,28.20063492
28.28,N,28.53732426
28.62,N,28.89723356
28.96,N,29.2339229
29.305,N,29.57641723
29.65,N,29.92471655
30,N,30.28462585
30.345,N,30.60390023
30.685,N,30.93478458
31.03,N,31.31791383
31.37,N,31.65460318
31.72,N,31.99709751
32.07,N,32.3570068
32.415,N,32.68789116
32.77,N,33.05360544
33.12,N,33.3844898
33.45,N,33.76181406
33.81,N,34.06367347
34.14,N,34.4061678
34.475,N,34.74866213
34.835,N,35.09696145
35.18,N,35.45106576
35.525,N,35.77614513
35.865,N,36.11863946
36.2,N,36.47274376
36.555,N,36.8152381
36.89,N,37.16353742
37.24,N,37.48861678
37.575,N,37.84852608
37.925,N,38.19102041
38.275,N,38.52770975
38.605,N,38.88761905
38.95,N,39.19528345
39.32,N,39.58421769
39.66,N,39.91510204
39.995,N,40.26920635
40.345,N,40.59428571
40.68,N,40.97160998
41.04,N,41.30249433
41.375,N,41.64498866
41.715,N,41.98748299
42.055,N,42.33578231
42.41,N,42.68408163
42.75,N,43.01496599
43.095,N,43.35746032
43.445,N,43.69995465
43.785,N,44.04825397
44.13,N,44.37333333
44.47,N,44.71582766
44.815,N,45.07573696
45.165,N,45.4646712
45.53,N,45.77814059
45.86,N,46.12643991
46.205,N,46.46312925
46.54,N,46.81723356
46.9,N,47.17133787
47.245,N,47.52544218
47.595,N,47.86793651
47.935,N,48.21043084
48.29,N,48.55873016
48.64,N,48.88961451
48.97,N,49.23210884
49.32,N,49.58621315
49.66,N,49.94031746
50.02,N,50.27120181
50.35,N,50.60208617
50.69,N,50.96199547
51.03,N,51.29287982
51.375,N,51.65278912
51.72,N,52.00108844
52.07,N,52.33777778
52.415,N,52.67446712
52.755,N,53.01696145
53.1,N,53.36526077
53.44,N,53.73097506
53.79,N,54.07346939
54.14,N,54.41596372
54.48,N,54.77006803
54.84,N,55.12417234
55.19,N,55.46086168
55.52,N,55.82657596
55.88,N,56.13424036
56.21,N,56.47673469
56.545,N,56.82503401
56.895,N,57.15011338
57.235,N,57.52163265
57.59,N,57.84671202
57.925,N,58.19501134
58.27,N,58.53750567
58.61,N,58.89160998
58.965,N,59.22829932
59.3,N,59.58240363
59.645,N,59.92489796
59.995,N,60.27319728
60.335,N,60.60988662
60.68,N,60.94657596
61.025,N,61.2890703
61.37,N,61.64897959
61.72,N,61.99147392
62.085,N,62.33977324
62.415,N,62.68807256
62.755,N,63.03056689
63.095,N,63.37886621
63.45,N,63.72716553
63.795,N,64.08126984
64.145,N,64.42376417
64.5,N,64.77206349
64.845,N,65.12036281
65.19,N,65.45705215
65.52,N,65.79954649
65.87,N,66.14784581
66.215,N,66.48453515
66.57,N,66.83283447
66.905,N,67.15791383
67.24,N,67.50040816
67.58,N,67.86612245
67.925,N,68.20861678
68.27,N,68.5569161
68.625,N,68.89941043
68.965,N,69.23609977
69.31,N,69.5785941
69.65,N,69.92108844
69.99,N,70.27519274
70.34,N,70.62349206
70.69,N,71.00226757
71.035,N,71.32154195
71.39,N,71.6553288
71.745,N,71.99637188
72.075,N,72.37369615
72.43,N,72.70022676
72.76,N,73.01950113
73.1,N,73.36780045
73.455,N,73.71609977
73.8,N,74.07165533
74.145,N,74.39818594
74.485,N,74.74648526
74.82,N,75.08752835
75.175,N,75.43582766
75.51,N,75.77687075
75.86,N,76.10340136
76.195,N,76.45895692
76.545,N,76.80725624
76.895,N,77.14104308
77.225,N,77.4893424
77.57,N,77.83038549
77.945,N,78.83900227
78.955,N,79.82585034
79.86,N,80.49342404
80.695,N,81.55283447
81.715,N,82.61950113
82.77,N,83.30884354
83.465,N,84.32471655
84.495,N,85.35510204
85.525,N,86.04444444
86.21,N,87.06031746
87.245,N,88.15600907
88.29,N,88.74376417
88.96,N,89.85396825
89.98,N,90.82630386
91.03,N,91.52290249
91.715,N,92.5968254
92.765,N,93.63446712
93.825,N,94.35283447
94.475,N,99.50476191
